Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"D1","D_Small","D_SOD-123",91.281250,-51.593750,90.000000,bottom
"D2","D_Small","D_SOD-123",110.331250,-51.593750,90.000000,bottom
"D3","D_Small","D_SOD-123",129.381250,-51.593750,90.000000,bottom
"D4","D_Small","D_SOD-123",148.431250,-51.593750,90.000000,bottom
"D5","D_Small","D_SOD-123",167.481250,-51.593750,90.000000,bottom
"D6","D_Small","D_SOD-123",186.531250,-51.593750,90.000000,bottom
"D7","D_Small","D_SOD-123",205.581250,-51.593750,90.000000,bottom
"D8","D_Small","D_SOD-123",91.281250,-70.643750,90.000000,bottom
"D9","D_Small","D_SOD-123",110.331250,-70.643750,90.000000,bottom
"D10","D_Small","D_SOD-123",130.175000,-70.643750,90.000000,bottom
"D11","D_Small","D_SOD-123",148.431250,-70.643750,90.000000,bottom
"D12","D_Small","D_SOD-123",167.481250,-70.643750,90.000000,bottom
"D13","D_Small","D_SOD-123",186.531250,-70.643750,90.000000,bottom
"D14","D_Small","D_SOD-123",91.281250,-89.693750,90.000000,bottom
"D15","D_Small","D_SOD-123",110.331250,-89.726250,90.000000,bottom
"D16","D_Small","D_SOD-123",129.381250,-89.693750,90.000000,bottom
"D17","D_Small","D_SOD-123",148.431250,-89.693750,90.000000,bottom
"D18","D_Small","D_SOD-123",167.481250,-89.693750,90.000000,bottom
"D19","D_Small","D_SOD-123",186.531250,-89.693750,90.000000,bottom
"D20","D_Small","D_SOD-123",91.281250,-108.743750,90.000000,bottom
"D21","D_Small","D_SOD-123",110.331250,-108.743750,90.000000,bottom
"D22","D_Small","D_SOD-123",129.381250,-108.743750,90.000000,bottom
"D23","D_Small","D_SOD-123",148.431250,-108.743750,90.000000,bottom
"D24","D_Small","D_SOD-123",167.481250,-108.681250,90.000000,bottom
"D25","D_Small","D_SOD-123",186.531250,-108.743750,90.000000,bottom
"D26","D_Small","D_SOD-123",137.318750,-134.143750,90.000000,bottom
"D27","D_Small","D_SOD-123",155.575000,-138.906250,90.000000,bottom
"D28","D_Small","D_SOD-123",170.656250,-145.256250,90.000000,bottom
